,ID,run,img_pair,choice,side,outcome,matched,RT,reinforcer_response
0,90,run04,EF,E,1,reward,matched,1.568349,
1,90,run04,EF,F,1,reward,mismatched,1.599086,explore_reward
2,90,run04,CD,D,2,reward,mismatched,1.615454,
3,90,run04,CD,C,1,reward,matched,1.595675,explore_reward
4,90,run04,EF,E,1,punish,mismatched,1.593470,explore_reward
5,90,run04,EF,E,1,punish,mismatched,1.608744,explore_punish
6,90,run04,EF,F,2,reward,mismatched,1.592516,exploit_punish
7,90,run04,CD,Miss,Miss,Miss,Miss,Miss,miss_response
8,90,run04,EF,Miss,Miss,Miss,Miss,Miss,miss_response
9,90,run04,EF,E,2,punish,mismatched,1.585017,miss_response
10,90,run04,EF,E,1,reward,matched,1.601071,explore_punish
11,90,run04,AB,A,2,reward,matched,1.598305,
12,90,run04,CD,C,1,reward,matched,1.613264,miss_response
13,90,run04,EF,E,2,punish,mismatched,1.594431,exploit_reward
14,90,run04,EF,E,2,reward,matched,1.609828,explore_punish
15,90,run04,CD,C,1,reward,matched,1.591813,exploit_reward
16,90,run04,EF,E,1,reward,matched,1.608105,exploit_reward
17,90,run04,AB,A,1,reward,matched,1.604922,exploit_reward
18,90,run04,AB,B,2,punish,matched,1.587084,explore_reward
19,90,run04,AB,B,1,punish,matched,1.602668,explore_punish
20,90,run04,CD,C,2,reward,matched,1.600955,exploit_reward
21,90,run04,AB,B,1,reward,mismatched,1.599365,explore_punish
22,90,run04,CD,C,2,punish,mismatched,1.580670,exploit_reward
23,90,run04,CD,C,2,reward,matched,1.594696,explore_punish
24,90,run04,AB,B,2,punish,matched,1.593282,exploit_reward
25,90,run04,CD,D,1,reward,mismatched,1.607904,explore_reward
